Model,RMSE,MAE,MSE,R2,Pearson,Median_AE,Explained_Variance,Data,Mode,Dataset,Type
LinkD,0.254047034362022,0.1574148531572958,0.0645398956681383,0.9077520858714944,0.9570515859216208,0.0841300940513614,0.9111752134570106,Davis,random,Training,InHouse
Raw Diffusion,0.5232919198562649,0.3268042262260248,0.2738344333868556,0.5824435103474501,0.7796101844565354,0.1725379443168644,0.6016033045105492,Davis,random,Validation,InHouse
Raw Random Forest,0.5856173569562066,0.3568290165569189,0.3429476887683731,0.4770561492744291,0.6918421027295508,0.1866279049565626,0.4775794144811546,Davis,random,Validation,InHouse
LinkD,0.5180111596327591,0.3044212224332331,0.2683355615040758,0.5908284662203255,0.7720465239801079,0.1184656011786549,0.5941319065686738,Davis,random,Validation,InHouse
Raw Diffusion,0.5093392905962489,0.3191419475204688,0.2594265129450901,0.6165368044132179,0.8011308172611362,0.1741800069808956,0.6360588987170536,Davis,random,Test,InHouse
Raw Random Forest,0.593148893516334,0.3543398295057912,0.3518256098796514,0.4799599658409818,0.6943677349419537,0.1905029952162076,0.4802658572658141,Davis,random,Test,InHouse
LinkD,0.5112554037319106,0.295699970113935,0.2613820878450789,0.6136462324672514,0.7877588678935459,0.1138228074493916,0.6173131901849742,Davis,random,Test,InHouse
Raw Diffusion,0.3213754272946801,0.209064268571458,0.1032821652688382,0.8450516363519145,0.9248455191149672,0.133099966049194,0.8488069709539395,Davis,cold_protein,Training,InHouse
Raw Random Forest,0.212294290320983,0.1253828362057993,0.0450688657028898,0.9323857417787398,0.9766477242846512,0.0608423020115149,0.9324204674815546,Davis,cold_protein,Training,InHouse
LinkD,0.2303368266381984,0.1420652505720401,0.0530550537057554,0.9204045177251096,0.9610309047892824,0.0746018326775082,0.9208195628968898,Davis,cold_protein,Training,InHouse
Raw Diffusion,0.6606515122256901,0.3813361918581128,0.4364604206060912,0.3929360571130291,0.6500957405566444,0.1602116394042969,0.4108439117710193,Davis,cold_protein,Validation,InHouse
Raw Random Forest,0.6811299889596187,0.4115619196284092,0.4639380618601303,0.3547179634362942,0.5971003075089987,0.2044718068500257,0.356197546223611,Davis,cold_protein,Validation,InHouse
LinkD,0.6407012990978606,0.3688443307848122,0.4104981546656861,0.4290464460142179,0.6565156132700474,0.1345596079607935,0.4310121939290762,Davis,cold_protein,Validation,InHouse
Raw Diffusion,0.6766793949102177,0.3843212769338779,0.4578950034960584,0.3966328311456689,0.6589606359604081,0.1550131702423098,0.4198404730556655,Davis,cold_protein,Test,InHouse
Raw Random Forest,0.6676836159503892,0.4111066153033197,0.4458014110085868,0.4125685295147964,0.643896981452172,0.2105019967051027,0.4126157899686904,Davis,cold_protein,Test,InHouse
LinkD,0.6448160876581064,0.3696656305213373,0.4157877869027068,0.452117411388496,0.676552000172813,0.1413343102855284,0.4576301359043164,Davis,cold_protein,Test,InHouse
Raw Diffusion,0.3489344240741646,0.2325564603479853,0.1217552323039689,0.8172372191317491,0.91538547064137,0.1579360151290894,0.8355580095713088,Davis,cold_drug,Training,InHouse
Raw Random Forest,0.2091395452947589,0.1199257076672046,0.0437393494060985,0.934344298971322,0.977453017661356,0.0576003276545513,0.9343768388127668,Davis,cold_drug,Training,InHouse
LinkD,0.2490864930940583,0.1509035751090362,0.0620440810418963,0.9068676674253904,0.9576948694872872,0.0805565977096556,0.9113364071332322,Davis,cold_drug,Training,InHouse
Raw Diffusion,0.8890365584228701,0.5936730956655683,0.7903860022123813,0.1652353543898828,0.5667546007990586,0.3265816545486446,0.1652462583010645,Davis,cold_drug,Validation,InHouse
Raw Random Forest,0.8052505695006555,0.5954484239837563,0.6484284796811302,0.3151635169026193,0.562677698778685,0.4196494423141033,0.3165427160276755,Davis,cold_drug,Validation,InHouse
LinkD,0.7888306429809606,0.5504130871529942,0.6222537833057558,0.3428078717907145,0.5982916698541367,0.3498102311616922,0.3433963257854067,Davis,cold_drug,Validation,InHouse
Raw Diffusion,0.824250181858765,0.525617262110686,0.6793883622942072,-0.0931088100206196,0.3817003584520543,0.2538506448427631,-0.0929407605657883,Davis,cold_drug,Test,InHouse
