,query,matched,score,ModelID,StrippedCellLineName
369,MOLP-8,MOLP8,90.9090909090909,ACH-000745,MOLP8
370,MY-M12,MYM12,90.9090909090909,ACH-002276,MYM12
371,NCI-H1876,NCIH1876,94.11764705882354,ACH-000586,NCIH1876
372,NK-92MI,NK92MI,92.3076923076923,ACH-002289,NK92MI
373,NU-DUL-1,NUDUL1,85.71428571428571,ACH-000287,NUDUL1
374,OCI-AML5,OCIAML5,93.33333333333333,ACH-000065,OCIAML5
375,OCI-LY-19,OCILY19,87.5,ACH-000124,OCILY19
376,OCI-M1,OCIM1,90.9090909090909,ACH-000751,OCIM1
377,P32-ISH,P32ISH,92.3076923076923,ACH-002293,P32ISH
378,PL-21,PL21,88.88888888888889,ACH-000218,PL21
379,RC-K8,RCK8,88.88888888888889,ACH-001638,RCK8
380,ROS-50,ROS50,90.9090909090909,ACH-001639,ROS50
381,SC-1,SC1,85.71428571428571,ACH-002392,SC1
382,SLVL,SLVL,100.0,ACH-002062,SLVL
383,SU-DHL-16,SUDHL16,87.5,ACH-002307,SUDHL16
384,SU-DHL-4,SUDHL4,85.71428571428571,ACH-000365,SUDHL4
385,SU-DHL-6,SUDHL6,85.71428571428571,ACH-000611,SUDHL6
386,SU-DHL-8,SUDHL8,85.71428571428571,ACH-000656,SUDHL8
387,SUP-HD1,SUPHD1,92.3076923076923,ACH-001203,SUPHD1
388,SUP-M2,SUPM2,90.9090909090909,ACH-000226,SUPM2
389,TK,TK,100.0,ACH-002313,TK
390,VAL,VAL,100.0,ACH-001703,VAL
391,WIL2-NS,WIL2NS,92.3076923076923,ACH-002316,WIL2NS
392,WSU-DLCL2,WSUDLCL2,94.11764705882354,ACH-000534,WSUDLCL2
393,NCI-H1299,NCIH1299,94.11764705882354,ACH-000510,NCIH1299
394,HCE-4,HCE4,88.88888888888889,ACH-002243,HCE4
395,A498,A498,100.0,ACH-000555,A498
396,KMS-12-BM,KMS12BM,87.5,ACH-000380,KMS12BM
397,NCI-N87,NCIN87,92.3076923076923,ACH-000427,NCIN87
398,SNU-C2B,SNUC2B,92.3076923076923,ACH-001199,SNUC2B
399,TGBC24TKB,TGBC24TKB,100.0,ACH-002312,TGBC24TKB
400,A704,A704,100.0,ACH-000429,A704
401,GAK,GAK,100.0,ACH-002120,GAK
402,KLE,KLE,100.0,ACH-000293,KLE
403,KP-N-RT-BM-1,KPNRTBM1,80.0,ACH-000345,KPNRTBM1
404,TE-9,TE9,85.71428571428571,ACH-000694,TE9
405,TE-11,TE11,88.88888888888889,ACH-000488,TE11
406,TC-YIK,TCYIK,90.9090909090909,ACH-002201,TCYIK
407,EW-22,EW22,88.88888888888889,ACH-002116,EW22
408,KYM-1,KYM1,88.88888888888889,ACH-000607,KYM1
409,HCC1500,HCC1500,100.0,ACH-000349,HCC1500
410,KARPAS-620,KARPAS620,94.73684210526315,ACH-000193,KARPAS620
411,BB65-RCC,BB65RCC,93.33333333333333,ACH-002090,BB65RCC
412,SW982,SW982,100.0,ACH-001274,SW982
413,IA-LM,IALM,88.88888888888889,ACH-000672,IALM
414,CP67-MEL,CP67MEL,93.33333333333333,ACH-002098,CP67MEL
415,CRO-AP2,CROAP2,92.3076923076923,ACH-002220,CROAP2
416,MOLT-13,MOLT13,92.3076923076923,ACH-000795,MOLT13
417,NCI-H250,NCIH250,93.33333333333333,ACH-002171,NCIH250
418,PFSK-1,PFSK1,90.9090909090909,ACH-001711,PFSK1
419,A673,A673,100.0,ACH-000052,A673
420,5637,5637,100.0,ACH-000905,5637
421,RT4,RT4,100.0,ACH-000242,RT4
