cell,comparator,ratio,adjustment,seed,window_days,window_label,n_treat,n_ctrl,events_treat,events_ctrl,status,reason,or,ci_lower,ci_upper,p_value,se,n,n_events,n_covariates
AvsC_1to2_full,C,2,full,8,365,1y,24096,48192,17,106,success,,0.2761,0.164,0.4646,1.2573430759192032e-06,0.2656,72288.0,123.0,14.0
AvsC_1to2_full,C,2,full,8,730,2y,24096,48192,35,150,success,,0.4139,0.2836,0.6042,4.8471492571848954e-06,0.1929,72288.0,185.0,14.0
AvsC_1to2_full,C,2,full,8,1095,3y,24096,48192,52,204,success,,0.45,0.3286,0.6163,6.497830411970939e-07,0.1605,72288.0,256.0,14.0
AvsC_1to2_full,C,2,full,8,1825,5y,24096,48192,75,246,success,,0.5403,0.4124,0.7079,7.960265751517428e-06,0.1378,72288.0,321.0,14.0
AvsC_1to2_full,C,2,full,9,365,1y,24096,48192,17,87,success,,0.4014,0.2367,0.6807,0.0007054832971687138,0.2695,72288.0,104.0,14.0
AvsC_1to2_full,C,2,full,9,730,2y,24096,48192,35,174,success,,0.4107,0.2827,0.5966,3.0090341203131413e-06,0.1906,72288.0,209.0,14.0
AvsC_1to2_full,C,2,full,9,1095,3y,24096,48192,52,219,success,,0.4811,0.3515,0.6586,4.941121769691047e-06,0.1602,72288.0,271.0,14.0
AvsC_1to2_full,C,2,full,9,1825,5y,24096,48192,75,296,failed,non-convergence,,,,,,,,
AvsC_1to2_simple,C,2,simple,0,365,1y,24096,48192,17,3,success,,11.399,3.3747,38.5041,8.910968636429858e-05,0.621,72288.0,20.0,6.0
AvsC_1to2_simple,C,2,simple,0,730,2y,24096,48192,35,25,success,,2.8281,1.6879,4.7387,7.883111644368937e-05,0.2633,72288.0,60.0,6.0
AvsC_1to2_simple,C,2,simple,0,1095,3y,24096,48192,52,64,success,,1.6421,1.1337,2.3785,0.00868989792959021,0.189,72288.0,116.0,6.0
AvsC_1to2_simple,C,2,simple,0,1825,5y,24096,48192,75,182,success,,0.8197,0.6246,1.0756,0.15150990719600294,0.1386,72288.0,257.0,6.0
